"","NOVES","BAIXES","ORD","PRESSUPOST","Nov_C18"
"jun. 2018",100150.051333333,254697.943054797,18303197.9628376,18148650.0711162,37197.729
"jul. 2018",227224.521935484,254697.943054797,18252286.0306706,18224812.6095513,102963.808064516
"ago. 2018",348863.614516129,254697.943054797,18203045.7696087,18297211.4410701,227224.521935484
"sep. 2018",496217.484,254697.943054797,18155422.2910599,18396941.8320051,346130.493333333
"oct. 2018",645019.493225807,254697.943054797,18109362.5086749,18499684.0588459,494327.902580645
"nov. 2018",808703.273666667,254697.943054797,18064815.0791717,18618820.4097835,642159.447333333
"dic. 2018",958708.693548387,254697.943054797,18021730.3451023,18725741.0955959,806516.295483871
"ene. 2019",1135593.94935484,254697.943054797,17980060.2794998,18860956.2857998,958708.693548387
"feb. 2019",1302888.07464286,254697.943054797,17939758.4323415,18987948.5639296,1132681.425
"mar. 2019",1497395.13419355,254697.943054797,17900779.8787711,19143477.0699098,1303087.13774194
"abr. 2019",1664938.84766667,254697.943054797,17863081.1690202,19273322.0736321,1494694.93166667
"may. 2019",1833584.45193548,254697.943054797,17826620.2799749,19405506.7888556,1662271.18548387
"jun. 2019",1973420.49833333,254697.943054797,17791356.5683318,19510079.1236103,1831141.47733333
"jul. 2019",2103975.17225806,254697.943054797,17757250.7252925,19606527.9544957,1975977.68322581
"ago. 2019",2197425.19451613,254697.943054797,17724264.732746,19666991.9842073,2103975.17225806
"sep. 2019",2264848.31233333,254697.943054797,17692361.8208895,19702512.190168,2195991.62833333
"oct. 2019",2300625.97870968,254697.943054797,17661506.4272405,19707434.4628953,2264060.69516129
