"","C18","C18_per","CN","CN_per"
"1",37197.729,36081.79713,18148650.0711162,17604190.5689827
"2",102963.808064516,99874.8938225806,18224812.6095513,17678068.2312647
"3",227224.521935484,220407.786277419,18297211.4410701,17748295.097838
"4",346130.493333333,335746.578533333,18396941.8320051,17845033.577045
"5",494327.902580645,479498.065503226,18499684.0588459,17944693.5370806
"6",642159.447333333,622894.663913333,18618820.4097835,18060255.79749
"7",806516.295483871,782320.806619355,18725741.0955959,18163968.862728
"8",958708.693548387,929947.432741936,18860956.2857998,18295127.5972258
"9",1132681.425,1098700.98225,18987948.5639296,18418310.1070117
"10",1303087.13774194,1263994.52360968,19143477.0699098,18569172.7578125
"11",1494694.93166667,1449854.08371667,19273322.0736321,18695122.4114231
"12",1662271.18548387,1612403.04991935,19405506.7888556,18823341.58519
"13",1831141.47733333,1776207.23301333,19510079.1236103,18924776.749902
"14",1975977.68322581,1916698.35272903,19606527.9544957,19018332.1158609
"15",2103975.17225806,2040855.91709032,19666991.9842073,19076982.2246811
"16",2195991.62833333,2130111.87948333,19702512.190168,19111436.824463
"17",2264060.69516129,2196138.87430645,19707434.4628953,19116211.4290085
"18",2300481.50933333,2231467.06405333,NA,NA
