"","Total grau","Total (Altes)","Total Ordinària","Total Endarreriments","TOTAL Import","Grau 3","3 (ALTES)","G3 ORDINÀRIA","G3 ENDARRERIMENTS","Grau 3-2","3-2 (ALTES)","G3-2 ORDINÀRIA","G3-2 ENDARRERIMENTS","Grau 3-1","3-1 (ALTES)","G3-1 ORDINÀRIA","G3-1 ENDARRERIMENTS","Grau 2","2 (ALTES)","G2 ORDINÀRIA","G2 ENDARRERIMENTS","Grau 2-2","2-2 (ALTES)","G2-2 ORDINÀRIA","G2-2 ENDARRERIMENTS","Grau 2-1","2-1 (ALTES)","G2-1 ORDINÀRIA","G2-1 ENDARRERIMENTS","Grau 1-2","1-2 (ALTES)","G1-2 ORDINÀRIA","G1-2 ENDARRERIMENTS","Grau 1","1 (ALTES)","G1 ORDINÀRIA","G1 ENDARRERIMENTS","Grau 1-1","1-1 (ALTES)","G1-1 ORDINÀRIA","G1-1 ENDARRERIMENTS"
"Gener",484,17,109164.49,13104.18,122268.67,42,0,17027.43,0,0,0,0,0,5,0,1999.99,0,274,11,65404.78,10946.87,5,1,1164.7,554.62,9,0,2046.11,0,8,0,1273.45,0,141,5,20248.03,1602.69,0,0,0,0
"Febrer",502,40,110647.84,30340.89,140988.73,37,1,14324.48,2703.63,1,0,500.38,1201.96,5,0,1999.99,0,294,27,68825.19,21050.19,5,0,1143.9,0,7,0,1576.71,0,6,0,985.45,0,147,12,21291.74,5385.11,0,0,0,0
"Mar",560,78,124264.21,70904.07,195168.28,46,9,17821.16,16795.7,1,0,500.38,0,5,0,1857.64,0,324,44,76373.18,39441.58,6,0,1282.56,0,9,2,2057.43,1388.69,4,0,679.45,0,165,23,23692.41,13278.1,0,0,0,0
"Abril",577,47,126016.08,27403.12,153419.2,42,3,15869.02,4942.86,1,0,500.38,0,2,0,731.8,0,335,21,79767.81,14340.51,6,0,1282.56,0,8,0,1817.43,0,3,0,499.45,0,180,23,25547.63,8119.75,0,0,0,0
"Maig",606,56,131976.05,38571,170547.05,47,5,17960.6,4674.77,1,0,500.38,0,2,0,731.8,0,343,29,81327.67,22675.28,6,0,1282.56,0,8,0,1817.43,0,3,0,499.45,0,196,22,27856.16,11220.95,0,0,0,0
"Juny",652,58,140975.62,41215.36,182190.98,55,8,20352.51,9331.84,1,0,500.38,0,2,0,731.8,0,359,27,85045.85,25117.84,6,0,1282.56,0,9,0,2046.11,0,2,0,360,0,218,23,30656.41,6765.68,0,0,0,0
"Juliol",681,48,149348.22,40785.48,190133.7,203,27,53591.74,23286.87,0,0,0,0,2,0,750.56,1125.84,264,11,63737.08,9190.52,5,0,1143.9,0,7,0,1576.71,0,2,0,360,0,198,10,28188.23,7182.25,0,0,0,0
"Agost",710,38,155698.89,37732.17,193431.06,62,2,23481.76,1794.42,1,0,500.38,0,4,0,1482.36,1501.12,390,17,93436.79,25214.36,8,1,1813.18,1604.44,8,0,1817.43,0,2,0,285.3,0,235,18,32881.69,7617.83,0,0,0,0
"Setembre",735,55,159927.67,46486.25,206413.92,67,5,24585.03,11367.74,1,0,500.38,0,4,0,1482.36,24.21,397,28,94754.74,22792.69,8,0,1813.18,0,7,0,1576.71,0,2,0,285.3,0,249,22,34929.97,12301.61,0,0,0,0
"Octubre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
