"","Total grau","Total (Altes)","Total Ordinària","Total Endarreriments","TOTAL Import","Grau 3","3 (ALTES)","G3 ORDINÀRIA","G3 ENDARRERIMENTS","Grau 3-2","3-2 (ALTES)","G3-2 ORDINÀRIA","G3-2 ENDARRERIMENTS","Grau 3-1","3-1 (ALTES)","G3-1 ORDINÀRIA","G3-1 ENDARRERIMENTS","Grau 2","2 (ALTES)","G2 ORDINÀRIA","G2 ENDARRERIMENTS","Grau 2-2","2-2 (ALTES)","G2-2 ORDINÀRIA","G2-2 ENDARRERIMENTS","Grau 2-1","2-1 (ALTES)","G2-1 ORDINÀRIA","G2-1 ENDARRERIMENTS","Grau 1-2","1-2 (ALTES)","G1-2 ORDINÀRIA","G1-2 ENDARRERIMENTS","Grau 1","1 (ALTES)","G1 ORDINÀRIA","G1 ENDARRERIMENTS","Grau 1-1","1-1 (ALTES)","G1-1 ORDINÀRIA","G1-1 ENDARRERIMENTS"
"Gener",2079,95,604137.35,148902.14,753039.49,248,7,125660.5,16559.5,23,0,13371.99,871.3,29,0,13829.05,8684.92,501,22,157855.33,50147.99,22,0,7386.28,0,34,0,10226.96,0,55,1,12315.28,673.1,1167,65,263491.96,71965.33,0,0,0,0
"Febrer",2163,167,622753.74,242265.42,865019.16,245,14,124900.72,48170.76,25,0,13996.56,319.34,27,0,12853.31,0,518,43,163705.04,71107.93,22,0,7330.7,173.48,32,0,9504.8,0,56,5,12533.28,4171.04,1238,105,277929.33,118322.87,0,0,0,0
"Mar",2382,279,676985.96,311197.79,988183.75,254,22,129883.43,49626.34,24,0,13329.39,14.77,27,0,12853.31,0,564,56,176767.9,91993.5,22,0,7330.7,0,32,0,9504.8,417.22,57,3,12681.63,2511.17,1402,198,314634.8,166634.79,0,0,0,0
"Abril",2404,167,671765.14,175932.04,847697.18,249,10,126362.61,27816.07,18,0,9389.9,0,18,0,8665.36,841.58,549,31,172367.45,39950.47,12,0,3424.49,730.74,30,0,8397.5,817.18,57,2,12666.43,724.71,1471,124,330491.4,105051.29,0,0,0,0
"Maig",2619,267,732543.26,303040.37,1035583.63,266,20,138015.27,54518.95,19,0,10257.22,1149.56,19,0,9165.74,254.12,580,40,182448.24,69942.54,11,0,3467.02,0,29,0,8782.65,567.71,57,3,12466.95,2046.29,1638,204,367940.17,174561.2,0,0,0,0
"Juny",2782,198,773915.1,197161.32,971076.42,275,11,142517.35,27205.2,19,0,10257.22,0,18,0,8665.36,11.42,587,21,185797.45,38239.48,16,0,5315.72,3757.04,31,0,9060.82,1008.63,57,0,12726.62,718.92,1779,166,399574.56,126220.63,0,0,0,0
"Juliol",2890,156,801576.93,168179.72,969756.65,685,54,253323.7,71937.73,15,0,8131.52,2001.51,19,0,8690.38,5213.64,445,11,140717.03,18359.8,13,0,4363.37,1109.22,24,0,7209.95,914.73,51,0,11378.75,0,1638,91,367762.23,68643.09,0,0,0,0
"Agost",3037,166,837937.47,213015.28,1050952.75,278,8,146769.44,25159.52,16,0,8322.43,0,26,0,12314.76,8839.06,612,19,195104.18,42369.7,15,0,5028.91,581.74,36,0,10986.58,4906.82,25,1,5698.35,1349.16,2027,138,453272.02,129809.28,2,0,440.8,0
"Setembre",3205,268,876105.03,306796.02,1182901.05,284,16,149067.66,49769.62,15,0,8164.88,0,24,0,11364.04,0,640,39,202643.43,66149.04,15,0,5028.91,404.22,36,0,10665.62,87.76,26,1,5692.54,697.89,2164,212,483277.15,189604.15,1,0,200.8,83.34
"Octubre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
