"","Total grau","Total (Altes)","Total Ordinària","Total Endarreriments","TOTAL Import","Grau 3","3 (ALTES)","G3 ORDINÀRIA","G3 ENDARRERIMENTS","Grau 3-2","3-2 (ALTES)","G3-2 ORDINÀRIA","G3-2 ENDARRERIMENTS","Grau 3-1","3-1 (ALTES)","G3-1 ORDINÀRIA","G3-1 ENDARRERIMENTS","Grau 2","2 (ALTES)","G2 ORDINÀRIA","G2 ENDARRERIMENTS","Grau 2-2","2-2 (ALTES)","G2-2 ORDINÀRIA","G2-2 ENDARRERIMENTS","Grau 2-1","2-1 (ALTES)","G2-1 ORDINÀRIA","G2-1 ENDARRERIMENTS","Grau 1-2","1-2 (ALTES)","G1-2 ORDINÀRIA","G1-2 ENDARRERIMENTS","Grau 1","1 (ALTES)","G1 ORDINÀRIA","G1 ENDARRERIMENTS","Grau 1-1","1-1 (ALTES)","G1-1 ORDINÀRIA","G1-1 ENDARRERIMENTS"
"Gener",8521,363,4333763.37,857021.13,5190784.5,3778,158,2290346.5,502176.85,199,0,168944.88,3336.61,570,7,373851.84,26066.46,3278,183,1211031.15,298356.46,276,6,121633.88,11949.21,406,8,160895.8,14524.44,3,0,1954.3,0,11,1,5105.02,611.1,0,0,0,0
"Febrer",8075,498,4073699.2,1177574.71,5251273.91,3614,198,2165522.9,596867.68,184,2,156745.39,4689.2,530,17,344343.98,30722.92,3108,242,1143774.51,482393.05,259,14,115729.14,16749.89,380,25,147583.28,46151.97,0,0,0,0,0,0,0,0,0,0,0,0
"Mar",8450,933,4116223.31,1948777.33,6065000.64,3747,342,2182741.54,957909.33,177,3,149653.03,10886.09,505,13,327204.96,40886.99,3406,536,1203330.96,876917.72,247,8,107857.91,14600.15,368,31,145434.91,47577.05,0,0,0,0,0,0,0,0,0,0,0,0
"Abril",8343,634,4132891.35,1332597.17,5465488.52,3722,251,2210897.74,706894.17,174,5,146085.61,14658.86,483,7,311038.29,41868.07,3349,336,1216507.63,499371.86,246,8,104692.85,11843.42,369,27,143669.23,57960.79,0,0,0,0,0,0,0,0,0,0,0,0
"Maig",8623,866,4258940.81,1681439.8,5940380.61,3866,342,2301408.91,842517.75,170,4,139847.08,11573.76,464,11,301421.61,39516.43,3516,467,1270926,704448.94,229,10,98721.42,8884.19,378,32,146615.79,74498.73,0,0,0,0,0,0,0,0,0,0,0,0
"Juny",8610,567,4260071.41,1422846.82,5682918.23,3846,222,2295366.02,675447.97,161,3,134897.13,61047.28,455,9,293096.57,38293.68,3558,307,1295318.06,588905.2,227,5,97633.35,22160.63,357,20,140773.78,34102.44,1,0,426.12,0,5,1,2560.38,2889.62,0,0,0,0
"Juliol",8587,521,4283959.13,1034594.52,5318553.65,3044,178,1679078.97,405342.52,160,4,105899.98,15553.81,468,12,276617.62,21009.53,3306,232,1443313.32,394681.55,259,15,139493.39,14827.82,451,22,226362.97,42667.74,107,7,52267.12,12917.08,768,51,349824.22,127353.8,24,1,11101.54,240.67
"Agost",8724,474,4376073.86,965571.43,5341645.29,3739,145,2321091.43,452921.76,155,0,130891.02,2955.12,440,8,286549.31,15738.23,3776,284,1389528.09,439591.77,232,18,97691.91,19342.43,378,19,148039.72,35022.12,1,0,426.12,0,2,0,1430.14,0,1,0,426.12,0
"Setembre",9008,949,4313767.34,1881480.11,6195247.45,3869,335,2291657.44,921748.17,150,2,121493.84,3573.71,434,12,276225.35,75665.08,3947,554,1393869.74,811006.14,222,10,90340.95,18443.05,385,36,139464.95,51043.96,0,0,0,0,1,0,715.07,0,0,0,0,0
"Octubre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
