"","Total grau","Total (Altes)","Total Ordinària","Total Endarreriments","TOTAL Import","Grau 3","3 (ALTES)","G3 ORDINÀRIA","G3 ENDARRERIMENTS","Grau 3-2","3-2 (ALTES)","G3-2 ORDINÀRIA","G3-2 ENDARRERIMENTS","Grau 3-1","3-1 (ALTES)","G3-1 ORDINÀRIA","G3-1 ENDARRERIMENTS","Grau 2","2 (ALTES)","G2 ORDINÀRIA","G2 ENDARRERIMENTS","Grau 2-2","2-2 (ALTES)","G2-2 ORDINÀRIA","G2-2 ENDARRERIMENTS","Grau 2-1","2-1 (ALTES)","G2-1 ORDINÀRIA","G2-1 ENDARRERIMENTS","Grau 1-2","1-2 (ALTES)","G1-2 ORDINÀRIA","G1-2 ENDARRERIMENTS","Grau 1","1 (ALTES)","G1 ORDINÀRIA","G1 ENDARRERIMENTS","Grau 1-1","1-1 (ALTES)","G1-1 ORDINÀRIA","G1-1 ENDARRERIMENTS"
"Gener",930,93,216382.19,85646.91,302029.1,188,17,66663.28,22381.62,4,0,2001.5,0,9,1,2758.32,362.77,452,44,99081.39,46000.78,4,0,925.28,0,11,1,2455.54,1437.53,9,0,1321.97,1.88,253,30,41174.91,15462.33,0,0,0,0
"Febrer",940,118,209619.55,163900.93,373520.48,184,10,61179.24,41319.78,4,0,2001.5,0,8,2,2672.01,128.32,447,50,95609.22,64214.68,8,3,1427.83,1456.39,13,2,2614.42,144.43,11,3,1681.97,1649.23,265,48,42433.36,54988.1,0,0,0,0
"Mar",1095,249,227038.65,328051.09,555089.74,199,39,65112.36,68996.22,3,1,1072.23,504.54,10,2,3415.07,1013.89,518,100,102466.39,137274.76,8,2,1743.34,263.44,12,0,2202.79,2837.98,11,1,1861.97,824.55,334,104,49164.5,116335.71,0,0,0,0
"Abril",1055,160,234072.07,174499.82,408571.89,191,24,67454.06,41578.14,2,0,1000.75,0,12,2,3565.18,884.09,503,81,106155.69,87080.45,7,1,1757.21,1659.83,9,0,1962.07,0,13,1,1933.97,1904.8,318,51,50243.14,41392.51,0,0,0,0
"Maig",1107,195,248930.39,197066.91,445997.3,213,32,74819.79,44240.54,2,0,1000.75,0,12,1,3940.46,1483.13,508,83,109572.91,87815.18,7,1,1757.21,831.93,10,1,2202.79,466.41,13,2,1933.97,288,342,75,53702.51,61941.72,0,0,0,0
"Juny",1077,100,243267.77,138308.09,381575.86,195,13,69610.3,29393.87,3,0,1501.13,531.57,13,1,3640.24,1615.61,495,43,109605.51,61799.89,10,1,2028.81,1567.86,10,1,1817.64,427.23,12,1,1897.97,4472.13,339,40,53166.17,38499.93,0,0,0,0
"Juliol",1109,145,250117.36,150627.15,400744.51,152,16,42110.28,25851.6,7,0,2047.83,0,25,4,6848.85,7409.22,436,49,100599.64,59399.36,19,2,4730.57,2118.89,24,0,5756.84,958.06,13,0,3025.53,0,433,74,84997.82,54890.02,0,0,0,0
"Agost",1110,107,257570.03,119940.85,377510.88,194,21,72348.96,44780.41,3,0,1501.13,0,11,0,3621.47,236.07,477,23,110366.73,21102.14,11,0,2554.72,25.81,8,2,1588.96,481.44,4,0,711,0,402,61,64877.06,53314.98,0,0,0,0
"Setembre",1201,219,258207.38,231620.21,489827.59,209,37,71804.16,54534.3,3,0,1501.13,0,11,3,3574.95,814.66,536,94,112768.45,103079.16,7,0,1757.21,0,7,0,1588.96,0,3,0,540,0,425,85,64672.52,73192.09,0,0,0,0
"Octubre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
