"","Total grau","Total (Altes)","Total Ordinària","Total Endarreriments","TOTAL Import","Grau 3","3 (ALTES)","G3 ORDINÀRIA","G3 ENDARRERIMENTS","Grau 3-2","3-2 (ALTES)","G3-2 ORDINÀRIA","G3-2 ENDARRERIMENTS","Grau 3-1","3-1 (ALTES)","G3-1 ORDINÀRIA","G3-1 ENDARRERIMENTS","Grau 2","2 (ALTES)","G2 ORDINÀRIA","G2 ENDARRERIMENTS","Grau 2-2","2-2 (ALTES)","G2-2 ORDINÀRIA","G2-2 ENDARRERIMENTS","Grau 2-1","2-1 (ALTES)","G2-1 ORDINÀRIA","G2-1 ENDARRERIMENTS","Grau 1-2","1-2 (ALTES)","G1-2 ORDINÀRIA","G1-2 ENDARRERIMENTS","Grau 1","1 (ALTES)","G1 ORDINÀRIA","G1 ENDARRERIMENTS","Grau 1-1","1-1 (ALTES)","G1-1 ORDINÀRIA","G1-1 ENDARRERIMENTS"
"Gener",12014,568,5263447.4,1104674.36,6368121.76,4256,182,2499697.71,541117.97,226,0,184318.37,4207.91,613,8,392439.2,35114.15,4505,260,1533372.65,405452.1,307,7,131110.14,12503.83,460,9,175624.41,15961.97,75,1,16865,674.98,1572,101,330019.92,89641.45,0,0,0,0
"Febrer",11680,823,5016720.33,1614081.95,6630802.28,4080,223,2365927.34,689061.85,214,2,173243.83,6210.5,570,19,361869.29,30851.24,4367,362,1471913.96,638765.85,294,17,125631.57,18379.76,432,27,161279.21,46296.4,73,8,15200.7,5820.27,1650,165,341654.43,178696.08,0,0,0,0
"Mar",12487,1539,5144512.13,2658930.28,7803442.41,4246,412,2395558.49,1093327.59,205,4,164555.03,11405.4,547,15,345330.98,41900.88,4812,736,1558938.43,1145627.56,283,10,118214.51,14863.59,421,33,159199.93,52220.94,72,4,15223.05,3335.72,1901,325,387491.71,296248.6,0,0,0,0
"Abril",12379,1008,5164744.64,1710432.15,6875176.79,4204,288,2420583.43,781231.24,195,5,156976.64,14658.86,515,9,324000.63,43593.74,4736,469,1574798.58,640743.29,271,9,111157.11,14233.99,416,27,155846.23,58777.97,73,3,15099.85,2629.51,1969,198,406282.17,154563.55,0,0,0,0
"Maig",12955,1384,5372390.51,2220118.08,7592508.59,4392,399,2532204.57,945952.01,192,4,151605.43,12723.32,497,12,315259.61,41253.68,4947,619,1644274.82,884881.94,253,11,105228.21,9716.12,425,33,159418.66,75532.85,73,5,14900.37,2334.29,2176,301,449498.84,247723.87,0,0,0,0
"Juny",13121,923,5418229.9,1799531.59,7217761.49,4371,254,2527846.18,741378.88,184,3,147155.86,61578.85,488,10,306133.97,39920.71,4999,398,1675766.87,714062.41,259,6,106260.44,27485.53,407,21,153698.35,35538.3,72,1,15410.71,5191.05,2341,230,485957.52,174375.86,0,0,0,0
"Juliol",13267,870,5485001.64,1394186.87,6879188.51,4084,275,2028104.69,526418.72,182,4,116079.33,17555.32,514,16,292907.41,34758.23,4451,303,1748367.07,481631.23,296,17,149731.23,18055.93,506,22,240906.47,44540.53,173,7,67031.4,12917.08,3037,226,830772.5,258069.16,24,1,11101.54,240.67
"Agost",13581,785,5627280.25,1336259.73,6963539.98,4273,176,2563691.59,524656.11,175,0,141214.96,2955.12,481,8,303967.9,26314.48,5255,343,1788435.79,528277.97,266,19,107088.72,21554.42,430,21,162432.69,40410.38,32,1,7120.77,1349.16,2666,217,552460.91,190742.09,3,0,866.92,0
"Setembre",14149,1491,5608007.42,2466382.59,8074390.01,4429,393,2537114.29,1037419.83,169,2,131660.23,3573.71,473,15,292646.7,76503.95,5520,715,1804036.36,1003027.03,252,10,98940.25,18847.27,435,36,153296.24,51131.72,31,1,6517.84,697.89,2839,319,583594.71,275097.85,1,0,200.8,83.34
"Octubre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Novembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
