"","Total grau","Total (Altes)","Total Ordinària","Total Endarreriments","Total Endarreriments DCR*","TOTAL Import","Grau 3","3 (ALTES)","G3 ORDINÀRIA","G3 ENDARRERIMENTS DCR*","G3 ENDARRERIMENTS","Grau 3-2","3-2 (ALTES)","G3-2 ORDINÀRIA","G3-2 ENDARRERIMENTS DCR*","G3-2 ENDARRERIMENTS","Grau 3-1","3-1 (ALTES)","G3-1 ORDINÀRIA","G3-1 ENDARRERIMENTS DCR*","G3-1 ENDARRERIMENTS","Grau 2","2 (ALTES)","G2 ORDINÀRIA","G2 ENDARRERIMENTS DCR*","G2 ENDARRERIMENTS","Grau 2-2","2-2 (ALTES)","G2-2 ORDINÀRIA","G2-2 ENDARRERIMENTS DCR*","G2-2 ENDARRERIMENTS","Grau 2-1","2-1 (ALTES)","G2-1 ORDINÀRIA","G2-1 ENDARRERIMENTS DCR*","G2-1 ENDARRERIMENTS","Grau 1-2","1-2 (ALTES)","G1-2 ORDINÀRIA","G1-2 ENDARRERIMENTS DCR*","G1-2 ENDARRERIMENTS","Grau 1-1","1-1 (ALTES)","G1-1 ORDINÀRIA","G1-1 ENDARRERIMENTS DCR*","G1-1 ENDARRERIMENTS","Grau 1","1 (ALTES)","G1 ORDINÀRIA","G1 ENDARRERIMENTS DCR*","G1 ENDARRERIMENTS","DCR"
"Gener",74253,333,18259910.01,2007635.64,0,20267545.65,6966,16,2457660.22,0,167683.88,3096,1,1135041.05,0,12530.38,7541,0,2374293.09,0,49347.38,15153,32,3781615.03,0,363005.22,7742,0,2028287.77,0,42195.19,15129,1,3661502.23,0,82626.76,5358,23,811940.02,0,105440.81,8,0,1224,0,4437,13260,260,2008346.6,0,1180369.02,"0"
"Febrer",74039,1477,18047761.6,1751502.55,0,19799264.15,6975,146,2442810.69,0,228092.16,3039,1,1107657.53,0,16300.78,7306,2,2288717.05,0,61492.73,15324,488,3808161.92,0,358950.77,7527,1,1963780.5,0,38474.22,14713,6,3549983.12,0,90000.64,5275,29,798150.77,0,119312.82,7,0,1071,0,0,13873,804,2087429.02,0,838878.43,"0"
"Mar",74009,1294,17992033.9,1814165.33,0,19806199.23,7050,128,2470869.5,0,294548.53,2982,0,1087545.6,0,28138.31,7122,2,2234187.85,0,70142.99,15494,330,3847875.7,0,459866.27,7388,1,1927034.27,0,37990.86,14373,5,3469618.52,0,60256.02,5198,28,787441.72,0,73308.38,0,0,0,0,0,14402,800,2167460.74,0,789913.97,"0"
"Abril",73894,1117,17929412.23,1236434.73,0,19165846.96,7062,95,2478148.9,0,190403.75,2936,0,1065966.63,0,33507,7021,0,2198372.03,0,66944.04,15590,358,3885212.9,0,258850.74,7265,1,1892325.04,0,50757.09,14123,2,3405221.49,0,70280.87,5142,25,775692.82,0,84109.02,6,0,918,0,0,14749,636,2227554.42,0,481582.22,"0"
"Maig",74036,1175,17958260.19,1517378.66,0,19475638.85,7227,111,2544066.1,0,278621.01,2881,1,1048266.67,0,52045.34,6886,2,2154078.81,0,30483.1,15856,351,3958610.14,0,320152.97,7135,5,1859509.47,0,68907.28,13810,2,3335995.42,0,68462.35,5030,22,761894.28,0,62730.03,6,0,918,0,0,15205,681,2294921.3,0,635976.58,"0"
"Juny",74181,1060,17961444.11,1025680.1,0,18987124.21,7291,97,2569807.5,0,185275.74,2857,0,1036454.13,0,29595.22,6791,2,2123571.48,0,42367.6,16027,336,4004107.8,0,204838.17,7022,0,1832075.95,0,24669.05,13609,0,3285140.23,0,59562.36,4980,12,753219.68,0,36525.62,6,0,918,0,0,15598,613,2356149.34,0,442846.34,"0"
"Juliol",74530,1090,18009007.42,1233665.07,0,19242672.49,10450,163,3273191.2,0,427596.02,2769,2,1009141.1,0,12030.44,6547,0,2051010.68,0,33955.1,14366,306,3619113.44,0,166546.17,6829,1,1784937.68,0,13700.56,13191,2,3188946.3,0,53818.55,4882,14,738814.73,0,44319.93,8,1,1224,0,3366,15488,601,2342628.29,0,478332.3,"0"
"Agost",74644,561,18036721.22,357166.41,0,18393887.63,7392,56,2615656.49,0,96479.94,2832,0,1023883.7,0,15214.39,6654,1,2074385.69,0,29932.72,16295,163,4091203.13,0,100914.04,6895,0,1798925.65,0,16773.33,13275,2,3200097.89,0,50096.33,4249,3,645871.54,0,14484.66,14,0,2491.7,0,0,17038,336,2584205.43,0,33271,"0"
"Setembre",74846,1204,17911153.99,2057283.28,0,19968437.27,7519,114,2637792.68,0,296277.8,2765,1,988750.33,0,35916.91,6467,1,1998352.84,0,83601.29,16597,347,4142038.31,0,401827.75,6719,2,1743402.13,0,58422.75,12964,2,3112744.23,0,98451.5,4184,4,631550.13,0,28196.1,10,0,1663.66,0,0,17621,733,2654859.68,0,1054589.18,"0"
"Octubre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"Novembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"Desembre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
